ego_aid,name,pub_date,pub_year,title,cited_by_count,doi,wid,authors,work_type,ego_age,nb_coauthors
A5040821463,Peter Sheridan Dodds,2024-04-01,2024,predicting stress in first-year college students using sleep data from wearable devices,8,https://doi.org/10.1371/journal.pdig.0000473,W4394727856,"Laura S. P. Bloomfield, Mikaela Irene Fudolig, Julia N. Kim, Jordan Llorin, Juniper Lovato, Ellen W. McGinnis, Ryan S. McGinnis, Matt A. Price, Taylor H. Ricketts, Peter Sheridan Dodds, Kathryn Stanton, Christopher M. Danforth",article,25.0,12
A5040821463,Peter Sheridan Dodds,2024-01-31,2024,"foregrounding artist opinions: a survey study on transparency,
  ownership, and fairness in ai generative art",0,https://doi.org/10.48550/arxiv.2401.15497,W4391376091,"Juniper Lovato, Julia Zimmerman, Isabelle Smith, Peter Sheridan Dodds, Jennifer Karson",preprint,25.0,5
A5040821463,Peter Sheridan Dodds,2024-01-20,2024,"expecting the unexpected: predicting panic attacks from mood, twitter, and apple watch data",5,https://doi.org/10.1109/ojemb.2024.3354208,W4390871495,"Ellen W. McGinnis, Bryn C. Loftness, Shania Lunna, Isabel Berman, Skylar Bagdon, Genevieve Lewis, Michael Arnold, Christopher M. Danforth, Peter Sheridan Dodds, Matthew Price, William Copeland, Ryan S. McGinnis",article,25.0,12
A5053327116,Mads Almassalkhi,2023-12-31,2023,procuring flexibility in power systems with incentive-based grid access requests,0,https://doi.org/10.1016/j.ijepes.2023.109745,W4390381706,"Mohsen Banaei, Francesco D’Ettorre, Razgar Ebrahimy, Mads Almassalkhi, Henrik Madsen",article,12.0,5
A5066993330,David Punihaole,2023-12-31,2023,toward determining amyloid fibril structures using experimental constraints from raman spectroscopy,2,https://doi.org/10.1063/5.0177437,W4389564195,"Madeline Harper, Uma Nudurupati, Riley J. Workman, Taras I. Lakoba, Nicholas Perez, Delaney Nelson, Yangguang Ou, David Punihaole",article,13.0,8
A5037781469,Alan K. Howe,2023-12-31,2023,co170 treatment exposure-adjusted event rates (eaers) for grade 3/4 aes associated with emerging and existing systemic therapies for mcrc with at least 2 prior lines of therapy: informing payer and pathway formulary decision making,0,https://doi.org/10.1016/j.jval.2023.09.242,W4390126279,"Alan K. Howe, Luis Hernández, Victoria Federico Paly, Cathy Eng, A. Dasari, Leslie Samuel, Stefan Kasper, David Tougeron",article,31.0,8
A5019605511,Julie A. Dumas,2023-12-30,2023,choline kinase alpha genotype is related to hippocampal brain volume and cognition in postmenopausal women,0,https://doi.org/10.1016/j.heliyon.2023.e23963,W4390116591,"Abigail J. Myers, Callum Potts, Jenna Makarewicz, Elizabeth A. McGee, Julie A. Dumas",article,22.0,5
A5026763824,David C. Jangraw,2023-12-30,2023,will you read how i will read? naturalistic fmri predictors of emergent reading,1,https://doi.org/10.1016/j.neuropsychologia.2023.108763,W4390084087,"Elizabeth K. Wat, David C. Jangraw, Emily S. Finn, Peter A. Bandettini, Jonathan L. Preston, Nicole Landi, Fumiko Hoeft, Stephen J. Frost, Airey Nga-Lui Lau, Gang Chen, Kenneth R. Pugh, Peter J. Molfese",article,45.0,12
A5085232359,Nicholas J. Gotelli,2023-12-29,2023,algal and cyanobacteria community composition within sarracenia purpurea phytotelmata across the eastern seaboard of the united states,0,https://doi.org/10.1656/045.030.0409,W4390111817,"Lindsey A. Pett, Angélica L. González, Nicholas J. Gotelli",article,41.0,3
A5034453011,Eric von Wettberg,2023-12-29,2023,leveraging genomics and phenomics to accelerate improvement in mungbean: a case study in how to go from gwas to selection,1,https://doi.org/10.1002/ppj2.20088,W4389778658,"Nathan Fumia, Ramakrishnan M. Nair, Ya‐Ping Lin, Cheng‐Ruei Lee, Hung‐Wei Chen, Eric von Wettberg, Michael B. Kantar, Roland Schafleitner",article,20.0,8
A5060478670,Jeffrey S. Buzas,2023-12-29,2023,trends in mortality and morbidities for infants born 24 to 28 weeks in the us: 1997–2021,41,https://doi.org/10.1542/peds.2023-064153,W4389393493,"Jeffrey D. Horbar, Lucy T. Greenberg, Jeffrey S. Buzas, Danielle Ehret, Roger F. Soll, Erika M. Edwards",article,33.0,6
A5023858070,Mary Cushman,2023-12-29,2023,accordance to a mind–style diet is associated with decreased risk of dementia mortality in the reasons for geographic and racial disparities in stroke (regards) cohort,0,https://doi.org/10.1002/alz.072481,W4390192165,"Suzanne E. Judd, George Howard, Christy Tangney, Keith Pearson, James M. Shikany, Mary Cushman, Nicole Wilson, Virginia J. Howard, Russell P. Sawyer, Carol Oladele, Jennifer J. Manly",article,49.0,11
A5085232359,Nicholas J. Gotelli,2023-12-28,2023,‘null model analyses are not adequate to summarise strong associations: rebuttal to ulrich et al. (2022)’ by mainali &amp; slud (2023),0,https://doi.org/10.1111/jbi.14772,W4389461688,"Werner Ulrich, Spyros Sfenthourakis, Giovanni Strona, Nicholas J. Gotelli",article,41.0,4
A5070545248,J.H.C. Costa,2023-12-28,2023,individuality of calves: linking personality traits to feeding and activity daily patterns measured by precision livestock technology,3,https://doi.org/10.3168/jds.2023-24257,W4390031644,"Megan M. Woodrum Setser, Heather W. Neave, J.H.C. Costa",article,16.0,3
A5005388341,Samuel Chevalier,2023-12-28,2023,emission-constrained optimization of gas networks: input-convex neural network approach,0,https://doi.org/10.1109/cdc49753.2023.10383948,W4391020291,"Vladimir Dvorkin, Samuel Chevalier, Spyros Chatzivasileiadis",article,23.0,3
A5090345791,Rebecca A. Aslakson,2023-12-27,2023,determining whether adding a palliative care team improves quality of life for patients who have had upper gastrointestinal cancer surgery – the periop-pc study,0,https://doi.org/10.25302/12.2023.ihs.160936518ic,W4389627844,"Rebecca A. Aslakson, Rachel Siden, Kathryn Colborn, Laura M. Holdsworth, Karl Lenze",report,13.0,5
A5010948910,Jessica DeMink-Carthew,2023-12-27,2023,interrogating the tensions: a collaborative self-study of middle grades teacher education practices in justice-oriented professional development,1,https://doi.org/10.1080/19404476.2023.2287440,W4389430001,"Kristie W. Smith, Jessica DeMink-Carthew, Keith R. Burgess, Bogum Yoon, James F. Nagle, Penny A. Bishop",article,8.0,6
A5005494593,Luis A. Duffaut Espinosa,2023-12-26,2023,functional derivatives of chen-fliess series with applications to optimal control,1,https://doi.org/10.1109/cdc49753.2023.10383539,W4391020008,"Luis A. Duffaut Espinosa, W. Steven Gray, Ivan Perez Avellaneda",article,16.0,3
A5031617048,Matthew J. Scarborough,2023-12-24,2023,"microbiome assembly and stability during start-up of a full-scale, two-phase anaerobic digester fed cow manure and mixed organic feedstocks",5,https://doi.org/10.1016/j.biortech.2023.130247,W4390297980,"Amy C. DeCola, Lucinda C. Toppen, Kennedy Brown, Ali Reza Dadkhah, Donna M. Rizzo, Ryan Ziels, Matthew J. Scarborough",article,30.0,7
A5085980410,Brian Cunniff,2023-12-23,2023,abstract b022: effects of rso-021 on cytokine profiles of malignant pleural effusions from patients enrolled in the mitope phase 1/2 clinical trial,0,https://doi.org/10.1158/1535-7163.targ-23-b022,W4389240466,"Terri Messier, Molly Scotland, George N. Naumov, Sean Dulloo, Dean A. Fennell, Brian Cunniff",article,12.0,6
A5053327116,Mads Almassalkhi,2023-12-22,2023,battery optimization for power systems: feasibility and optimality,2,https://doi.org/10.1109/cdc49753.2023.10384282,W4391021502,"Mazen Elsaadany, Mads Almassalkhi",article,12.0,2
A5019140171,David Conner,2023-12-22,2023,food resilience toolkit in action,1,https://doi.org/10.5304/jafscd.2023.131.014,W4389235369,"David Conner, Claire Whitehouse, Neishaly Serrano-Cortés, Robinson Rodríguez-Pérez, Naomi Cunningham, Travis Reynolds, Kerry Daigle, Valery Desravins, Jane Kolodinsky",article,26.0,9
A5029745678,Yolanda H. Chen,2023-12-20,2023,"evolution of chemosensory genes in colorado potato beetle, <i>leptinotarsa decemlineata</i>",2,https://doi.org/10.1093/jeb/voad004,W4390062906,"Zachary Cohen, Michael S. Crossley, Robert F. Mitchell, Patamarerk Engsontia, Yolanda H. Chen, Sean D. Schoville",article,21.0,6
A5066307333,Emily L. Coderre,2023-12-20,2023,teaching compassion,0,https://doi.org/10.1002/ntlf.30385,W4389628159,Emily L. Coderre,article,15.0,1
A5062403203,James P. Bagrow,2023-12-19,2023,revisiting stylized facts for modern stock markets,0,https://doi.org/10.1109/bigdata59044.2023.10386957,W4391097746,"Ethan Ratliff-Crain, Colin M. Van Oort, James P. Bagrow, Matthew Koehler, Brian F. Tivnan",article,19.0,5
A5103217263,Gary S. Stein,2023-12-18,2023,tumor microenvironmental determinants of high-risk dcis progression,1,https://doi.org/10.1101/2023.12.01.569676,W4389296628,"Alexa Glencer, Kirithiga Ramalingam, Nicole Schindler, Hidetoshi Mori, Prachi N. Ghule, Kyra Lee, Daniela Nachmanson, Adam Officer, Olivier Harismendy, Janet L. Stein, Gary S. Stein, Mark Evans, Donald L. Weaver, Christina Yau, Gillian L. Hirst, Michael J. Campbell, Laura J. Esserman, Alexander D. Borowsky",preprint,68.0,18
A5006901996,William S. Keeton,2023-12-17,2023,a call to action: the need for evaluation of carbon storage by lacustrine large woody debris,1,https://doi.org/10.1111/fwb.14205,W4390033174,"J. Ellen Marsden, Ariana Chiapella, William S. Keeton",article,50.0,3
A5001775538,Hugh Garavan,2023-12-17,2023,recalibrating single-study effect sizes using hierarchical bayesian models,3,https://doi.org/10.3389/fnimg.2023.1138193,W4390055976,"Zhipeng Cao, Matthew F. McCabe, Peter Callas, Renata B. Cupertino, Jonatan Ottino‐González, Alistair Murphy, Devarshi Pancholi, Nathan Schwab, Orr Catherine, Kent E. Hutchison, Janna Cousijn, Alain Dagher, John J. Foxe, Anna E. Goudriaan, Robert Hester, Chiang‐Shan R. Li, Wesley K. Thompson, Angelica M. Morales, Edythe D. London, Valentina Lorenzetti, Maartje Luijten, Rocı́o Martı́n-Santos, Reza Momenan, Martin P. Paulus, Lianne Schmaal, Rajita Sinha, Nadia Solowij, Dan J. Stein, Elliot A. Stein, Anne Uhlmann, Ruth J. van Holst, Dick J. Veltman, Reínout W. Wiers, Murat Yücel, Sheng Zhang, Patricia Conrod, Scott Mackey, Hugh Garavan",article,31.0,38
A5005762300,Kathryn Hinkelman,2023-12-17,2023,open-source models for sand-based thermal energy storage in heating applications,0,https://doi.org/10.3384/ecp204627,W4392668133,"Kathryn Hinkelman, David Milner, Wangda Zuo",article,4.0,3
A5005985454,Christopher D. Huston,2023-12-16,2023,cryptosporidium life cycle small molecule probing implicates translational repression and an apetala 2 transcription factor in sexual differentiation,1,https://doi.org/10.1101/2023.12.18.572108,W4389922395,"Muhammad Mahmudul Hasan, Ethan B. Mattice, José E. Teixeira, Rajiv S. Jumani, Erin E. Stebbins, Connor Klopfer, Sebastian E. Franco, Melissa S. Love, Case W. McNamara, Christopher D. Huston",preprint,29.0,10
A5064679606,Brian Beckage,2023-12-14,2023,"climate coupling between temperature, humidity, precipitation, and cloud cover over the canadian prairies",1,https://doi.org/10.9734/bpi/eieges/v4/19931d,W4389570208,"Alan K. Betts, R. L. Desjardins, Devon E. Worth, Brian Beckage",book-chapter,24.0,4
A5050393620,Bin Deng,2023-12-14,2023,the n‐terminal intrinsically disordered region of ncb5or docks with the cytochrome <i>b</i><sub>5</sub> core to form a helical motif that is of ancient origin,1,https://doi.org/10.1002/prot.26647,W4389274141,"David R. Benson, Bin Deng, M.M. Kashipathy, Scott Lovell, K.P. Battaile, Anne Cooper, Philip Gao, Aron W. Fenton, Hao Zhu",article,28.0,9
A5014700972,Harold L. Dauerman,2023-12-13,2023,five-year follow-up from the corevalve expanded use transcatheter aortic valve-in-surgical aortic valve study,3,https://doi.org/10.1016/j.amjcard.2023.11.071,W4389839746,"Tanvir Bajwa, Roger J. Laham, Kamal R. Khabbaz, Harold L. Dauerman, Ron Waksman, Eric A. Weiss, Suhail Allaqaband, Salem Badr, Michael Caskey, Timothy Byrne, Robert J. Applegate, Neal D. Kon, Shuzhen Li, Neal S. Kleiman, Michael J. Reardon, Stanley Chetcuti, G. Michael Deeb",article,27.0,17
A5035455593,Laurent Hébert‐Dufresne,2023-12-13,2023,nonlinear bias toward complex contagion in uncertain transmission settings,9,https://doi.org/10.1073/pnas.2312202121,W4390323407,"Guillaume St-Onge, Laurent Hébert‐Dufresne, Antoine Allard",article,13.0,3
A5101459958,Daniel J. Weiss,2023-12-12,2023,msc-based cell therapy for covid-19-associated ards and classical ards: comparative perspectives,1,https://doi.org/10.1007/s40778-023-00231-6,W4389399453,"Daniel J. Weiss, Sara Rolandsson Enes",article,58.0,2
A5067002514,Amritanshu Pandey,2023-12-11,2023,continuous switch model and heuristics for mixed-integer nonlinear problems in power systems,2,https://doi.org/10.1109/tpwrs.2023.3340113,W4389665133,"Aayushya Agarwal, Amritanshu Pandey, Larry Pileggi",article,11.0,3
A5070850590,Jean-Gabriel Young,2023-12-11,2023,hypergraph reconstruction from uncertain pairwise observations,2,https://doi.org/10.1038/s41598-023-48081-w,W4389306584,"Simon Lizotte, Jean-Gabriel Young, Antoine Allard",article,11.0,3
A5008683066,Eliana Castro,2023-12-11,2023,the wisdom of youth: reconsidering secondary students’ racial literacies,0,https://doi.org/10.1353/hsj.2023.a949918,W4406576945,Eliana Castro,article,10.0,1
A5058304577,Anthony W. D’Amato,2023-12-11,2023,the natural ‘exclosure effect’ and tree regeneration following post‐windstorm salvage logging,4,https://doi.org/10.1111/1365-2664.14560,W4389736437,"Colby Bosley‐Smith, Shawn Fraver, Anthony W. D’Amato, Nicole S. Rogers, Nava Tabak, Jay W. Wason",article,21.0,6
A5069684912,Randall L. Headrick,2023-12-10,2023,(invited) understanding plasma-assisted atomic layer epitaxy of inn and opportunities for collaboration through the office of naval research global,0,https://doi.org/10.1149/ma2023-02321570mtgabs,W4391638930,"Charles R. Eddy, Neeraj Nepal, J. Woodward, Peco Myint, Chenyu Wang, Xiaozhi Zhang, Lutz Wiegart, Andrei Fluerasu, Randall L. Headrick, Karl Ludwig",article,39.0,10
A5000554558,Bryan A. Ballif,2023-12-09,2023,"<scp>crk</scp> and <scp>nck</scp> adaptors may functionally overlap in zebrafish neurodevelopment, as indicated by common binding partners and overlapping expression patterns",0,https://doi.org/10.1002/1873-3468.14781,W4389425813,"Helaina R. Stergas, Maeve Dillon‐Martin, Caroline Dumas, Nicole Hansen, Francesca Carasi-Schwartz, Alex R. D'Amico, Kylie M. Finnegan, Uatchet Juch, Keeley R. Kane, Isabel E. Kaplan, Madeline L. Masengarb, Marina E. Melero, Lauren E. Meyer, Conrad R. Sacher, Evan A. Scriven, Alicia M. Ebert, Bryan A. Ballif",article,27.0,17
A5046801350,Louis deRosset,2023-12-09,2023,abstraction and grounding,5,https://doi.org/10.1111/phpr.13036,W4390430492,"Louis deRosset, Øystein Linnebo",article,17.0,2
A5063974887,Donna J. Toufexis,2023-12-09,2023,levonorgestrel maintains goal-directed behavior in habit-trained intact female rats,0,https://doi.org/10.1016/j.yhbeh.2023.105468,W4389767556,"Sarah VonDoepp, Zaidan Mohammed, Russell Dougherty, Ella Hilton-Vanosdall, Sam Charette, A. Kraus, Sarah Van Horn, Adrianna Quirk, Donna J. Toufexis",article,27.0,9
A5029745678,Yolanda H. Chen,2023-12-08,2023,how is leaf herbivory related to agriculture? insights from the mexican center of crop origin,1,https://doi.org/10.1007/s11829-023-10019-4,W4390244830,"Jorge Ruiz‐Arocho, Raúl González-Salas, Gabriel A. LeMay, Nicholas Steinthal, Alicia Mastretta‐Yanes, Ana Wegier, Ofelia Vargas‐Ponce, Lislie Solís‐Montero, Quetzalcóatl Orozco–Ramírez, Yolanda H. Chen",article,21.0,10
A5014853497,Rebecca M. Callahan,2023-12-08,2023,moving the needle for ever-els?: advanced math course taking and college enrollment,1,https://doi.org/10.1080/19313152.2023.2289290,W4389435032,"Rebecca M. Callahan, Lauren Schudde, Kimberly Pack-Cosme",article,20.0,3
A5112965505,Nick Cheney,2023-12-07,2023,the champ app: a scalable mhealth technology for detecting digital phenotypes of early childhood mental health,6,https://doi.org/10.1109/jbhi.2023.3337649,W4389180797,"Bryn C. Loftness, Julia Halvorson-Phelan, Aisling O’Leary, Carter Bradshaw, Shania Lunna, Isabel Berman, John Torous, William Copeland, Nick Cheney, Ryan S. McGinnis, Ellen W. McGinnis",article,10.0,11
A5070253378,Alicia M. Ebert,2023-12-06,2023,"<scp>crk</scp> and <scp>nck</scp> adaptors may functionally overlap in zebrafish neurodevelopment, as indicated by common binding partners and overlapping expression patterns",0,https://doi.org/10.1002/1873-3468.14781,W4389425813,"Helaina R. Stergas, Maeve Dillon‐Martin, Caroline Dumas, Nicole Hansen, Francesca Carasi-Schwartz, Alex R. D'Amico, Kylie M. Finnegan, Uatchet Juch, Keeley R. Kane, Isabel E. Kaplan, Madeline L. Masengarb, Marina E. Melero, Lauren E. Meyer, Conrad R. Sacher, Evan A. Scriven, Alicia M. Ebert, Bryan A. Ballif",article,18.0,17
A5005500349,Terence Cuneo,2023-12-06,2023,socially conscious moral intuitionism,0,https://doi.org/10.1111/nous.12445,W4389455594,"John Bengson, Terence Cuneo, Russ Shafer‐Landau",article,39.0,3
A5035455593,Laurent Hébert‐Dufresne,2023-12-04,2023,the unintended consequences of inconsistent closure policies and mobility restrictions during epidemics,8,https://doi.org/10.1186/s44263-023-00028-z,W4389292361,"Benjamin M. Althouse, Brendan Wallace, Brendan Case, Samuel V. Scarpino, Antoine Allard, Andrew M. Berdahl, Easton R. White, Laurent Hébert‐Dufresne",article,13.0,8
A5091823137,Trishnee Bhurosy,2023-12-04,2023,prediction rules identify which young adults have higher rates of heavy episodic drinking after exposure to 12-week text message interventions,2,https://doi.org/10.1177/29767342231206653,W4390395478,"Tammy Chung, Brian Suffoletto, Sarah W. Feldstein Ewing, Trishnee Bhurosy, Yanping Jiang, Pamela Valera",article,10.0,6
A5001775538,Hugh Garavan,2023-12-03,2023,dissociable contributions of goal-relevant evidence and goal-irrelevant familiarity to n-back performance in youth,0,https://doi.org/10.31234/osf.io/nvh98,W4389895901,"Alexander Weigard, Takakuni Suzuki, Lena J. Skalaban, May I. Conley, Alexandra O. Cohen, Hugh Garavan, Mary M. Heitzeg, B.J. Casey, Chandra Sripada, Andrew Heathcote",preprint,31.0,10
A5040072620,Yangguang Ou,2023-12-03,2023,toward determining amyloid fibril structures using experimental constraints from raman spectroscopy,2,https://doi.org/10.1063/5.0177437,W4389564195,"Madeline Harper, Uma Nudurupati, Riley J. Workman, Taras I. Lakoba, Nicholas Perez, Delaney Nelson, Yangguang Ou, David Punihaole",article,11.0,8
A5034560073,E. Carol Adair,2023-12-02,2023,nitrous oxide emissions are driven by environmental conditions rather than nitrogen application methods in a perennial hayfield,0,https://doi.org/10.1002/jeq2.20536,W4390062001,"Sarah Brickman, Heather Darby, Lindsey Ruhl, E. Carol Adair",article,21.0,4
A5085980410,Brian Cunniff,2023-12-01,2023,"abstract c027: rso-021, a first-in-class covalent inhibitor of mitochondrial prx3: from bench to bedside",0,https://doi.org/10.1158/1535-7163.targ-23-c027,W4389239731,"Dean A. Fennell, Sean Dulloo, Peter W. Szlosarek, Fiona Thistlethwaite, Simon Lord, Najib M. Rahman, Brian Cunniff, Joanna Działo, Charlotte Poile, Rakesh Panchal, Jarrett Duncan, P. Graham, Alice Bexon, George N. Naumov, James Spicer",article,12.0,15
A5027340620,Jason Botten,2023-12-01,2023,an ace2 decamer viral trap as a durable intervention solution for current and future sars-cov,2,https://doi.org/10.1080/22221751.2023.2275598,W4389564397,"Hailong Guo, Bomsoo Cho, Paul R. Hinton, Sijia He, Yongjun Yu, Ashwin Ramesh, Jwala Priyadarsini Sivaccumar, Zhiqiang Ku, Kristen Campo, Sarah Holland, Sameer Sachdeva, Christopher Mensch, Mohamed Dawod, Annalis Whitaker, Philip Eisenhauer, Allison Falcone, Rebekah Honce, Jason Botten, Stephen F. Carroll, Bruce A. Keyt, Andrew W. Womack, William R. Strohl, Kai Xu, Ningyan Zhang, Zhiqiang An, Sha Ha, John W. Shiver, Tong‐Ming Fu",article,26.0,28
A5001775538,Hugh Garavan,2023-12-01,2023,associations between family history of alcohol and/or substance use problems and frontal cortical development from 9 to 13 years of age: a longitudinal analysis of the abcd study,8,https://doi.org/10.1016/j.bpsgos.2023.100284,W4389981035,"Priscila Dib Gonçalves, Sílvia S. Martins, Nioud Mulugeta Gebru, Stacy R Ryan-Pettes, Nicholas Allgaier, Alexandra Potter, Wesley K. Thompson, Micah E. Johnson, Hugh Garavan, Ardesheer Talati, Matthew D. Albaugh",article,31.0,11
A5063968442,Abigail Crocker,2023-11-30,2023,a cluster randomized trial of primary care practice redesign to integrate behavioral health for those who need it most: patients with multiple chronic conditions,3,https://doi.org/10.1370/afm.3027,W4389037447,"Benjamin Littenberg, Jessica Clifton, Abigail Crocker, Laura‐Mae Baldwin, Levi N. Bonnell, Ryan E. Breshears, Peter Callas, Prama Chakravarti, Kelly Clark Keefe, Deborah J. Cohen, Frank V. deGruy, Lauren Eidt-Pearson, William Elder, Chester H. Fox, Sylvie Frisbie, Katie Hekman, Juvena Hitt, Jennifer Jewiss, David C. Kaelber, Kairn Stetler Kelley, Rodger Kessler, Jennifer O’Rourke-Lavoie, George S. Leibowitz, C. R. Macchi, Matthew Martin, Mark P. McGovern, Brenda Mollis, Daniel Mullin, Zsolt Nagykáldi, Lisa W. Natkin, Wilson Pace, Richard G. Pinckney, Douglas Pomeroy, Paula Reynolds, Gail L. Rose, Sarah Hudson Scholle, William J. Sieber, Jeni Soucie, Terry Stancin, Kurt C. Stange, Kari A. Stephens, Kathryn Teng, Elizabeth Needham Waddell, Constance van Eeghen",article,19.0,44
A5023858070,Mary Cushman,2023-11-30,2023,abstract 11396: circulating biomarkers improve cha <sub>2</sub> ds <sub>2</sub> -vasc risk prediction in atrial fibrillation: the cha <sub>2</sub> ds <sub>2</sub> -vasc-biomarkers model,0,https://doi.org/10.1161/circ.148.suppl_1.11396,W4389958861,"Samuel Short, Erin Mathiesen Hald, Katherine Wilkinson, George Howard, Virginia J. Howard, Suzanne E. Judd, Elsayed Z. Soliman, Brett Kissela, David Robinson, Robert J. Stanton, Mary Cushman",article,49.0,11
A5036833355,Katharine L. Cheung,2023-11-30,2023,trajectory of physical function and resilience in incident dialysis patients,0,https://doi.org/10.1681/asn.20233411s11114b,W4397041720,"Samantha F. Smoger, Derek M. Devine, Katharine L. Cheung",article,12.0,3
A5090816940,Sean A. Diehl,2023-11-29,2023,tv005 dengue vaccine protects against dengue serotypes 2 and 3 in two controlled human infection studies,9,https://doi.org/10.1172/jci173328,W4388723238,"Kristen K. Pierce, Anna P. Durbin, MaryClaire Walsh, Marya P. Carmolli, Beulah P. Sabundayo, Dorothy M. Dickson, Sean A. Diehl, Stephen S. Whitehead, Beth D. Kirkpatrick",article,30.0,9
A5031362021,Jane B. Lian,2023-11-28,2023,linc01638 sustains human mesenchymal stem cell self-renewal and competency for osteogenic cell fate,3,https://doi.org/10.1038/s41598-023-46202-z,W4388817478,"Jonathan A. R. Gordon, Coralee E. Tye, Bodhisattwa Banerjee, Prachi N. Ghule, André J. van Wijnen, Fleur S. Kabala, Natalie A. Page, Michelle M. Falcone, Janet L. Stein, Gary S. Stein, Jane B. Lian",article,51.0,11
A5010472783,Beth D. Kirkpatrick,2023-11-28,2023,tv005 dengue vaccine protects against dengue serotypes 2 and 3 in two controlled human infection studies,9,https://doi.org/10.1172/jci173328,W4388723238,"Kristen K. Pierce, Anna P. Durbin, MaryClaire Walsh, Marya P. Carmolli, Beulah P. Sabundayo, Dorothy M. Dickson, Sean A. Diehl, Stephen S. Whitehead, Beth D. Kirkpatrick",article,28.0,9
