oa_display_name	is_prof	group_size	perceived_as_male	host_dept	has_research_group	oa_uid	group_url	first_pub_year
	1		0	Plant Biology	1.0	a5088037315	https://jeannemharrislab.weebly.com/people.html	
	1		1	Pharmacology	1.0	a5088271995	https://harrazlab.com/team	
	1		1	Emergency Medicine	1.0	a5088601829	https://www.trauma-lab.science/research	
	1		0	Biochemistry	1.0	a5089340511	https://www.med.uvm.edu/biochemistry/lab---heath-lab-members	
	1		1	Psychiatry; Pediatrics	0.0	a5089482475		
Rebecca Aslakson	1		0	Anesthesiology	0.0	A5090345791		
Joshua Farley	1		1	Community Development and Applied Economics	0.0	a5090686681		2004.0
Sean A. Diehl	1		0	Microbiology and Molecular Genetics	1.0	A5090816940	https://www.med.uvm.edu/mmg/faculty/sean-diehl-phd	
	1		0	Nutrition and Food Sciences	1.0	a5091823137	https://www.researchgate.net/lab/Trishnee-Bhurosy-Lab	
	1		1	Electrical and Biomedical Engineering; Medicine	1.0	a5101459958	https://weisspulmonarylab.org/currentlabmembers	
	1		1	Civil and Environmental Engineering	1.0	a5101677824	https://www.researchgate.net/lab/Structural-Monitoring-Diagnostics-and-Prognostics-Lab-Eric-Hernandez	
	1		1	Nutrition and Food Sciences	1.0	a5101907134	https://www.uvm.edu/~mguo/laboratory.html	
	1		0	Agriculture, Landscape, and Environment	1.0	a5103029769	https://www.uvm.edu/cals/ale/hurley-lab	
	1		1	Biochemistry	1.0	a5103217263	https://www.med.uvm.edu/biochemistry/steinlianlab/home	
	1		1	Medicine	0.0	a5108368069		
Alec C. Ewald	1		1	Political Science	0.0	a5109486647		
	1		1	Rubenstein School of Environment and Natural Resources	1.0	a5110213117	https://ecoculturelab.net/	
	1		0	Grossman School of Business	0.0	a5110344908		
	1		1	Sociology	0.0	a5111431318		
Nick Cheney	1		1	Computer Science	1.0	a5112965505	https://www.uvm.edu/neurobotics/people	
	1		1	Mechanical Engineering	0.0	a5113506566	https://site.uvm.edu/plasma_lab/?page_id=16	
Robert Gramling	1		1	Family Medicine	1.0	a5113777237	https://vermontconversationlab.com/about/	
	1		1	Pediatrics	0.0	a5113979503		
	1		1	Theatre and Dance	0.0			
	1		1	English	0.0			
	1		0	Art and Art History	0.0			
	1		1	Theatre and Dance	0.0			
	1		1	English	0.0			
	1		1	Obstetrics, Gynecology and Reproductive Sciences	0.0			
	1		1	Art and Art History	0.0			
	1		0	Art and Art History	0.0			
	1		1	Grossman School of Business	0.0			
	1		1	Philosophy	0.0			
	1		1	Pharmacology	1.0			
	1		0	Microbiology and Molecular Genetics	0.0			
	1		1	Mechanical Engineering	0.0			
	1		1	Mathematics and Statistics	0.0			
	1		0	Linguistics	0.0			
	1		0	Pediatrics	0.0			
	1		0	Counseling, Human Development and Family Science	0.0			
	1		0	English	0.0			
	1		0	French and Italian	0.0			
	1		1	History	0.0			
	1		1	Rubenstein School of Environment and Natural Resources	0.0			
	1		0	Spanish	0.0			
	1		1	History	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	English	0.0			
	1		1	Music	0.0			
	1		1	History	0.0			
	1		1	Microbiology and Molecular Genetics; Pediatrics	0.0			
	1		0	Mechanical Engineering	0.0			
	1		0	Spanish	0.0			
	1		0	Social Work	0.0			
	1		0	Sociology	0.0			
	1		1	Classics	0.0			
	1		1	Theatre and Dance	0.0			
	1		1	Electrical and Biomedical Engineering	1.0			
	1		1	Grossman School of Business	0.0			
	1		1	Civil and Environmental Engineering	0.0			
	1		1	Political Science	0.0			
	1		0	Education	0.0			
	1		1	Education	0.0			
	1		1	Education	0.0			
	1		0	Rehabilitation and Movement Science	0.0			
	1		1	English	0.0			
	1		1	Civil and Environmental Engineering	0.0			
	1		1	Political Science	0.0			
	1		1	Microbiology and Molecular Genetics	0.0			
	1		0	Rubenstein School of Environment and Natural Resources	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	Biomedical and Health Sciences	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	English	0.0			
	1		1	Grossman School of Business	0.0			
	1		1	Psychological Science	1.0			
	1		0	Medicine	0.0			
	1		0	Political Science	0.0			
	1		0	History	0.0			
	1		0	Education	0.0			
	1		0	Education	0.0			
	1		1	Medicine	0.0			
	1		0	Philosophy	0.0			
	1		0	Economics				
	1		0	English	0.0			
	1		0	Counseling, Human Development and Family Science	0.0			
	1		0	Psychological Science	0.0			
	1		0	Community Development and Applied Economics	0.0			
	1		1	Political Science	0.0			
	1		0	Theatre and Dance	0.0			
	1		0	Medicine	0.0			
	1		1	Medicine	0.0			
	1		0	Political Science	0.0			
	1		1	Education	0.0			
	1		1	Medicine	0.0			
	1		1	Pediatrics	0.0			
	1		1	History	0.0			
	1		0	English	0.0			
	1		0	English	0.0			
	1		0	Education	0.0			
	1		1	Education	0.0			
	1		1	Mechanical Engineering	0.0			
	1		0	Communication Sciences and Disorders	0.0			
	1		1	East Asian Languages and Literatures	0.0			
	1		1	Medicine	0.0			
	1		0	Education	0.0			
	1		1	Grossman School of Business	0.0			
	1		1	Education	0.0			
	1		0	Counseling, Human Development and Family Science	0.0			
	1		0	Music	0.0			
	1		1	Sociology	0.0			
	1		1	English	0.0			
	1		1	Medicine	0.0			
	1		0	Rehabilitation and Movement Science	0.0			
	1		0	Art and Art History	0.0			
	1		0	Education	0.0			
	1		0	English	0.0			
	1		0	Medicine	0.0			
	1		1	Medicine	0.0			
	1		1	Geography and Geosciences	0.0			
	1		0	Economics	0.0			
	1		0	Microbiology and Molecular Genetics	0.0			
	1		1	Art and Art History	0.0			
	1		0	Surgery	0.0			
	1		0	Rubenstein School of Environment and Natural Resources	0.0			
	1		1	Physics	0.0			
	1		1	Medicine	0.0			
	1		1	Medicine	0.0			
	1		1	Orthopaedics and Rehabilitation	0.0			
	1		1	Medicine	0.0			
	1		0	Sociology	0.0			
	1		1	Mathematics and Statistics	0.0			
	1		1	Chemistry	0.0			
	1		0	Nursing	0.0			
	1		1	Economics	0.0			
	1		1	Computer Science	0.0			
	1		1	Art and Art History	0.0			
	1		0	Nursing	0.0			
	1		1	Medicine; Biochemistry	0.0			
	1		1	English	0.0			
	1		1	Philosophy	0.0			
	1		1	Spanish	0.0			
	1		1	English	0.0			
	1		0	Pharmacology	0.0			
	1		0	Grossman School of Business	0.0			
	1		0	Grossman School of Business	1.0			
	1		1	Political Science	0.0			
	1		0	Mechanical Engineering	1.0		https://site.uvm.edu/jama/?page_id=128	
	1		1	Chemistry	1.0			
	1		1	English	0.0			
	1		0	Anthropology	0.0			
	1		0	Rubenstein School of Environment and Natural Resources	1.0		https://www.researchgate.net/lab/J-Ellen-Marsden-Lab	
	1		1	Mechanical Engineering	1.0		https://site.uvm.edu/jmarsha1/	
	1		1	Microbiology and Molecular Genetics	1.0			
	1		1	History	0.0			
	1		1	Pharmacology; Medicine	0.0			
	1		1	Neurological Sciences	1.0			
	1		0	Education	0.0			
	1		0	Community Development and Applied Economics	0.0			
	1		0	French and Italian	0.0			
	1		1	Education	0.0			
	1		0	History	0.0			
	1		1	Art and Art History	0.0			
	1		1	English	0.0			
	1		0	Social Work	0.0			
	1		0	Education	0.0			
	1		0	Obstetrics, Gynecology and Reproductive Sciences	0.0			
	1		1	Orthopaedics and Rehabilitation	1.0	a5065232848	https://www.researchgate.net/lab/James-Michelson-Lab	
	1		1	Art and Art History	0.0			
	1		1	Mathematics and Statistics	0.0			
	1		0	Sociology	0.0			
	1		0	Plant Biology	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	Rubenstein School of Environment and Natural Resources	1.0	a5051112540	https://www.vermontlimnology.com/about	
	1		1	French and Italian	0.0			
	1		0	Neurological Sciences	1.0			
	1		0	English	0.0			
	1		0	Religion	0.0			
	1		1	Medicine	0.0			
	1		0	Geography and Geosciences	0.0			
	1		0	Rubenstein School of Environment and Natural Resources	1.0	a5082413587	https://werl-uvm.mystrikingly.com/#people	
	1		1	Philosophy	0.0			
	1		1	Rubenstein School of Environment and Natural Resources	0.0			
	1		0	Psychological Science	1.0	a5004322781	https://site.uvm.edu/socldevl/?page_id=64	
	1		1	Grossman School of Business	0.0			
	1		1	Obstetrics, Gynecology and Reproductive Sciences	1.0	a5085056433	https://www.uvm.edu/cals/asci/profile/shanmugasundaram-nallasamy-dvm-phd	
	1	15.0	1	Pharmacology	1.0	a5048090770	https://www.nelsonlaboratory.com/our-team	
	1		0	Geography and Geosciences	0.0			
	1		0	English	0.0			
	1		0	Education	0.0			
	1		0	English	0.0			
	1		0	Philosophy	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	Education	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	Spanish	0.0			
	1		1	Pathology and Laboratory Medicine	0.0			
	1		1	Computer Science	0.0			
	1		1	Electrical and Biomedical Engineering	0.0			
	1		0	History	0.0			
	1		0	Nursing	1.0	a5006192874	https://www.researchgate.net/lab/Mary-Val-Palumbo-Lab	
	1		0	Rubenstein School of Environment and Natural Resources	1.0		https://www.researchgate.net/lab/Bindu-Panikkar-Lab	
	1		0	Mathematics and Statistics	0.0			
	1		1	Plant Biology	0.0			
	1		0	Rehabilitation and Movement Science	1.0		https://mainlab.wixsite.com/mainlab	
	1		0	Community Development and Applied Economics	0.0			
	1		1	History	0.0			
	1		1	Civil and Environmental Engineering; Mathematics and Statistics	0.0			
	1		0	Psychological Science	1.0		https://www.uvm.edu/cas/psychology/profile/elizabeth-pinel	
	1		1	Education	0.0			
	1		1	Surgery	0.0			
	1		0	Nutrition and Food Sciences	1.0		https://site.uvm.edu/efpope/?page_id=45	
	1		1	Medicine	1.0			
	1		0	Plant Biology	1.0		https://jillpreston.weebly.com/people.html	
	1		1	Molecular Physiology and Biophysics	1.0		https://sites.google.com/view/mprevis/people	
	1		1	Grossman School of Business	0.0			
	1		0	Education	0.0			
	1		1	French and Italian	0.0			
	1		0	Social Work	0.0			
	1		0	Geography and Geosciences	0.0			
	1		1	Political Science	0.0			
	1		0	Family Medicine	0.0			
	1		0	Psychological Science	1.0			
	1		1	Community Development and Applied Economics	0.0			
	1		1	Rubenstein School of Environment and Natural Resources	1.0		https://www.rickettslab.com/people	
	1		0	Civil and Environmental Engineering	0.0			
	1		1	Microbiology and Molecular Genetics	0.0			
	1		1	Linguistics	0.0			
	1		0	Psychological Science	1.0		https://www.uvm.edu/cas/psychology/seasonal-affective-disorder	
	1		0	English	0.0			
	1		0	Mathematics and Statistics	0.0			
	1		0	Civil and Environmental Engineering	0.0			
	1		1	Rubenstein School of Environment and Natural Resources	1.0		https://nced.weebly.com/team.html	
	1		0	Theatre and Dance	0.0			
	1		1	Molecular Physiology and Biophysics	1.0		https://sites.google.com/view/salogiannis-lab/people	
	1		1	Mechanical Engineering	1.0		https://site.uvm.edu/FredericSansoz/people/	
	1		0	Psychological Science	1.0		https://www.uvm.edu/~ascherme/people/	
	1		1	Medicine	1.0		https://www.researchgate.net/lab/David-John-Schneider-Lab	
	1		0	English	0.0			
	1		1	Grossman School of Business	0.0			
	1		0	History	0.0			
	1		0	German, Russian, and Hebrew	0.0			
	1		0	German, Russian, and Hebrew	0.0			
	1		0	English	0.0			
	1		0	French and Italian	0.0			
	1		1	Pathology and Laboratory Medicine	1.0		https://dseward.w3.uvm.edu/templatepage2.html	
	1		1	Sociology	0.0			
	1		0	Grossman School of Business	0.0			
	1		0	Anthropology	0.0			
	1		0	Sociology	0.0			
	1		1	Theatre and Dance	0.0			
	1		0	Community Development and Applied Economics	0.0			
	1		1	Economics	0.0			
	1		0	Psychological Science	0.0			
	1		0	Philosophy	0.0			
	1		0	English	0.0			
	1		1	Computer Science	0.0			
	1		1	Pharmacology	1.0		https://www.ramplab.org/people	
	1		0	Education	0.0			
	1		0	Biomedical and Health Sciences	0.0			
	1		0	Animal and Veterinary Sciences	0.0			
	1		1	Counseling, Human Development and Family Science	0.0			
	1		1	Pediatrics	0.0			
	1		0	Economics	0.0			
	1		0	Social Work	0.0			
	1		1	Medicine	0.0			
	1		1	Surgery; Radiology; Biochemistry				
	1		1	Neurological Sciences	1.0			
	1		0	Medicine	0.0			
	1		0	Education	0.0			
	1		1	Agriculture, Landscape, and Environment	0.0			
	1		1	Anthropology	0.0			
	1		1	History	0.0			
	1		0	Biology	0.0			
	1		1	Music	0.0			
	1		1	Psychological Science	1.0			
	1		1	History	0.0			
	1		1	Rubenstein School of Environment and Natural Resources	0.0			
	1		0	Rubenstein School of Environment and Natural Resources	0.0			
	1		0	Sociology	0.0			
	1		0	Education	0.0			
	1		1	Molecular Physiology and Biophysics	1.0		https://physioweb.uvm.edu/stumpff-lab/lab-members/	
	1		1	Political Science	0.0			
	1		0	Education	0.0			
	1		1	Civil and Environmental Engineering	0.0			
	1		0	German, Russian, and Hebrew	0.0			
	1		0	Nursing	0.0			
	1		1	Political Science	0.0			
	1		1	Plant Biology	1.0			
	1		1	Medicine	1.0		https://www.researchgate.net/lab/Cory-Teuscher-Lab	
	1		0	Counseling, Human Development and Family Science	0.0			
	1		1	Microbiology and Molecular Genetics	1.0		https://www.med.uvm.edu/mmg/faculty/markus-thali-ph-d	
	1		1	Medicine	0.0			
	1		0	Plant Biology	1.0		https://www.uvm.edu/~mtierney/Labmembers.html	
