ego_aid,name,pub_date,pub_year,title,cited_by_count,doi,wid,authors,work_type,ego_age,nb_coauthors
A5078803587,Matthew D. Liptak,2009-02-17,2009,computational studies of bioorganometallic enzymes and cofactors.,3,https://doi.org/10.1039/bk9781847559159-00417,W2345592832,"Matthew D. Liptak, Katherine M. Van Heuvelen, Thomas C. Brunold",article,25.0,3
A5079241058,Thomas P. Ahern,2020-02-24,2020,application of the adaptive validation design to estimate the association between transmasculine/transfeminine status and self-inflicted injury among transgender and gender-nonconforming children and adolescents,0,https://doi.org/10.1101/2020.02.20.20024182,W3009579065,"Lindsay J. Collin, Richard F. MacLehose, Thomas P. Ahern, Michael Goodman, Timothy L. Lash",preprint,20.0,5
A5063274084,Vikas Anathy,2017-02-01,2017,epigenetic and transcriptomic regulation of lung repair during recovery from influenza infection,53,https://doi.org/10.1016/j.ajpath.2016.12.012,W2586919488,"Derek Pociask, Keven M. Robinson, Kong Chen, Kevin J. McHugh, Michelle E. Clay, Grace Huang, Panayiotis V. Benos, Yvonne M. W. Janssen‐Heininger, Jay K. Kolls, Vikas Anathy, John F. Alcorn",article,16.0,11
A5023858070,Mary Cushman,2024-08-25,2024,apixaban vs aspirin in patients with cancer and cryptogenic stroke,5,https://doi.org/10.1001/jamaneurol.2024.2404,W4401512775,"Babak B. Navi, Cenai Zhang, Benjamin Miller, Mary Cushman, Scott E. Kasner, Mitchell S.V. Elkind, David Tirschwell, W. T. Longstreth, Richard A. Kronmal, Morin Beyeler, Jordan Elm, Richard M. Zweifler, Joseph Tarsia, Carlo W. Cereda, Giovanni Bianco, Gianluca Costamagna, Patrik Michel, Joseph P. Broderick, David J. Gladstone, Hooman Kamel, Christopher Streib",article,50.0,21
A5052355819,Matthew A. Caporizzo,2017-02-02,2017,direct observation of strain transmission through the microtubule network of cardiomyocytes,0,https://doi.org/10.1016/j.bpj.2016.11.680,W2583451780,"Matthew A. Caporizzo, Brandon Kao, Patrick Robison, Alexey Bogush, Benjamin L. Prosser",article,6.0,5
A5081119848,Janet L. Stein,2019-01-13,2019,nonhistone proteins in genetic regulation,2,https://doi.org/10.1201/9781351070676-5,W2912709096,"Gary S. Stein, Mark Plumb, Janet L. Stein, Ian Phillips, E. A. Shephard",book-chapter,55.0,5
A5082463471,Niccolo M. Fiorentino,2015-04-23,2015,accuracy and feasibility of high-speed dual fluoroscopy and model-based tracking to measure in vivo ankle arthrokinematics,65,https://doi.org/10.1016/j.gaitpost.2015.03.008,W2121285048,"Bibo Wang, Koren E. Roach, Ashley L. Kapron, Niccolo M. Fiorentino, Charles L. Saltzman, Madeline L. Singer, Andrew E. Anderson",article,10.0,7
A5062403203,James P. Bagrow,2012-02-07,2012,underlying mechanisms for commuting and migration processes,0,,W2731691542,"Filippo Simini, Albert‐László Barabási, James P. Bagrow",article,8.0,3
A5074235895,Marilyn J. Cipolla,2013-12-14,2013,263: longitudinal changes in cerebral blood flow and brain structure in healthy nulliparous women (np) and those with prior preeclampsia (pre),0,https://doi.org/10.1016/j.ajog.2013.10.296,W1984956549,"David J. Hermel, Erin Morris, Richard Watts, Carole McBride, Christopher Fillipi, Marilyn J. Cipolla, Ira M. Bernstein",article,33.0,7
A5033621367,Theodore J. Angelopoulos,1993-05-01,1993,effect of repeated exercise bouts on high density lipoprotein-cholesterol and its subfractions hdl<sub>2</sub>-c and hdl<sub>3</sub>-c,31,https://doi.org/10.1055/s-2007-1021163,W2066786056,"Theodore J. Angelopoulos, Robert M. Robertson, Fredric L. Goss, Kenneth F. Metz, R. E. LaPorte",article,7.0,5
A5023858070,Mary Cushman,2015-11-23,2015,"abstract 9793: pcsk9 loss-of-function variants, low-density lipoprotein cholesterol, and risk of coronary heart disease and stroke: data from the regards study and charge consortium",1,https://doi.org/10.1161/circ.132.suppl_3.9793,W2400143739,"Shia T. Kent, Robert S. Rosenson, Christy L. Avery, Adolfo Correa, Steven R. Cummings, L. Adrienne Cupples, Mary Cushman, Daniel S. Evans, Vilmundur Guðnason, Tamara B. Harris, George Howard, Marguerite R. Irvin, Suzanne E. Judd, J. Wouter Jukema, Leslie A. Lange, Emily B. Levitan, Xiaohui Li, Yongmei Liu, Iris Postmus, Bruce M. Psaty, Jerome I. Rotter, Monika M. Safford, Colleen M. Sitlani, Albert V. Smith, James D. Stewart, Stella Trompet, Fangui Sun, Ramachandran S. Vasan, J. Michael Woolley, Eric A. Whitsel, Keri L Wiggins, James G. Wilson, Paul Muntner",article,41.0,33
A5041409879,Julia Perdrial,2022-07-25,2022,soil type modifies the impacts of warming and snow exclusion on leachate carbon and nutrient losses,2,https://doi.org/10.1007/s10533-022-00949-1,W4285088685,"Stephanie M. Juice, Paul G. Schaberg, Alexandra Kosiba, Carl E. Waite, Gary J. Hawley, Deane Wang, Julia Perdrial, E. Carol Adair",article,14.0,8
A5023858070,Mary Cushman,2015-11-07,2015,replication of a genetic risk score for venous thromboembolism in whites but not in african americans,22,https://doi.org/10.1111/jth.13193,W2334315008,"A.R. Folsom, Weihong Tang, Lu‐Chen Weng, Nicholas S. Roetker, Mary Cushman, Saonli Basu, James S. Pankow",article,41.0,7
A5023858070,Mary Cushman,2009-08-31,2009,low protein c and incidence of ischemic stroke and coronary heart disease: the atherosclerosis risk in communities (aric) study,45,https://doi.org/10.1111/j.1538-7836.2009.03577.x,W1969029317,"Aaron R. Folsom, Tetsuya Ohira, Kazumasa Yamagishi, Mary Cushman",article,35.0,4
A5008146559,Mandar M. Dewoolkar,2016-12-28,2016,application of a kohonen network to evaluate spatial variability in concentration-discharge relationships in the lake champlain basin,0,,W3182287912,"Donna M. Rizzo, Kristen L. Underwood, Mandar M. Dewoolkar",article,21.0,3
A5064679606,Brian Beckage,2002-06-23,2002,interactions of large-scale disturbances: prior fire regimes and hurricane mortality of savanna pines,106,https://doi.org/10.1890/0012-9658(2002)083[1566:iolsdp]2.0.co;2,W2071828413,"William Platt, Brian Beckage, Robert F. Doren, Harold H. Slater",article,3.0,4
A5085232359,Nicholas J. Gotelli,2017-10-27,2017,bi‐dimensional null model analysis of presence‐absence binary matrices,55,https://doi.org/10.1002/ecy.2043,W2762980373,"Giovanni Strona, Werner Ulrich, Nicholas J. Gotelli",article,35.0,3
A5089482475,Robert R. Althoff,2022-10-26,2022,2.43 associations between dysregulation and metabolic syndrome in youth and adults,0,https://doi.org/10.1016/j.jaac.2022.09.187,W4304631764,"Merelise Ametti, Aya Cheaito, Hannah E. Frering, Phil Ades, Robert R. Althoff",article,24.0,5
A5014700972,Harold L. Dauerman,2009-03-06,2009,n-acetylcysteine–enhanced contrast provides cardiorenal protection,15,https://doi.org/10.1016/j.jcin.2008.11.011,W1998206631,"Markus Meyer, Martin M. LeWinter, Stephen P. Bell, Zengyi Chen, Donald E. Selby, Dinender K. Singla, Harold L. Dauerman",article,13.0,7
A5015787795,Stephen T. Higgins,2008-12-11,2008,voucher‐based contingent reinforcement of smoking abstinence among methadone‐maintained patients: a pilot study,67,https://doi.org/10.1901/jaba.2008.41-527,W2108897108,"Kelly E. Dunn, Stacey C. Sigmon, Colleen S. Thomas, Sarah H. Heil, Stephen T. Higgins",article,26.0,5
A5002326354,Deborah A. Neher,2022-01-17,2022,compost use for plant disease suppression,12,https://doi.org/10.1016/b978-0-323-85602-7.00015-7,W4206361751,"Deborah A. Neher, H. A. J. Hoitink, Johannes Biala, Robert Rynk, Ginny Black",book-chapter,37.0,5
A5001775538,Hugh Garavan,2006-10-21,2006,do antisaccade deficits in schizophrenia provide evidence of a specific inhibitory function?,17,https://doi.org/10.1017/s135561770606108x,W2162520475,"Gary Donohoe, Richard B. Reilly, Sarah Clarke, Stephen D Meredith, Barry Green, Derek W. Morris, Michael Gill, Aiden Corvin, Hugh Garavan, Ian H. Robertson",article,14.0,10
A5015787795,Stephen T. Higgins,2003-10-31,2003,community reinforcement therapy for cocaine-dependent outpatients,199,https://doi.org/10.1001/archpsyc.60.9.1043,W2021653435,"Stephen T. Higgins, Stacey C. Sigmon, Conrad J. Wong, Sarah H. Heil, Gary J. Badger, Robert T. Donham, Robert Dantona, Stacey Anthony",article,21.0,8
A5079241058,Thomas P. Ahern,2017-06-30,2017,validity of danish breast cancer group (dbcg) registry data used in the predictors of breast cancer recurrence (<i>probecare</i>) premenopausal breast cancer cohort study,18,https://doi.org/10.1080/0284186x.2017.1327720,W2624421523,"Deirdre Cronin‐Fenton, Anders Kjærsgaard, Thomas P. Ahern, Marco Mele, Marianne Ewertz, Stephen Hamilton‐Dutoit, Peer Christiansen, Bent Ejlertsen, Henrik Toft Sørensen, Timothy L. Lash, Rebecca A. Silliman",article,17.0,11
A5006901996,William S. Keeton,2010-02-01,2010,"forest carbon storage in the northeastern united states: net effects of harvesting frequency, post-harvest retention, and wood products",229,https://doi.org/10.1016/j.foreco.2009.12.029,W2150951183,"Jared S. Nunery, William S. Keeton",article,37.0,2
A5035455593,Laurent Hébert‐Dufresne,2024-04-27,2024,the path of complexity,6,https://doi.org/10.1038/s44260-024-00004-0,W4394882074,"Laurent Hébert‐Dufresne, Antoine Allard, Joshua Garland, Elizabeth A. Hobson, Luis Zaman",article,14.0,5
A5020783528,Yvonne M. W. Janssen‐Heininger,2019-05-24,2019,obesity enhances duox1-mediated innate allergen responses and type 2 inflammation in allergic asthma,0,https://doi.org/10.1164/ajrccm-conference.2019.199.1_meetingabstracts.a3833,W2970083776,"Albert van der Vliet, M. Hristova, Aida Habibovic, Yvonne Janssen‐Heininger, Charles G. Irvin, Miklós Geiszt, Vikas Anathy, Matthew E. Poynter, Anne E. Dixon",article,20.0,9
A5058128585,Caroline Beer,2006-03-19,2006,"quality of life: an approach integrating opportunities, human needs, and subjective well-being",969,https://doi.org/10.1016/j.ecolecon.2006.02.023,W2134417682,"Robert Costanza, Brendan Fisher, Saleem H. Ali, Caroline Beer, Lynne A. Bond, Roelof Boumans, Nicholas L. Danigelis, Jennifer Dickinson, Carolyn Elliott, Joshua Farley, Diane Elliott Gayer, Linda MacDonald Glenn, Thomas R. Hudspeth, Dennis F. Mahoney, Laurence E. McCahill, Barbara McIntosh, Brian V. Reed, S. Abu Turab Rizvi, Donna M. Rizzo, Thomas Simpatico, Robert R. Snapp",article,5.0,21
A5023858070,Mary Cushman,2019-04-01,2019,reasons for differences in the incidence of venous thromboembolism in black versus white americans,50,https://doi.org/10.1016/j.amjmed.2019.03.021,W2933302037,"Aaron R. Folsom, Saonli Basu, Ching-Ping Hong, Susan R. Heckbert, Pamela L. Lutsey, Wayne D. Rosamond, Mary Cushman",article,45.0,7
A5042896751,Seth Frietze,2021-10-09,2021,p38 map kinase signaling in microglia plays a sex-specific protective role in cns autoimmunity and regulates microglial transcriptional states,14,https://doi.org/10.3389/fimmu.2021.715311,W3207231267,"Mahalia M. McGill, Alyssa Richman, Joseph R. Boyd, Bristy Sabikunnahar, Karolyn G. Lahue, Theresa L. Montgomery, Sydney Caldwell, Stella Varnum, Seth Frietze, Dimitry N. Krementsov",article,20.0,10
A5113777237,Robert Gramling,2009-01-18,2009,the loss of natural defenses,0,https://doi.org/10.5822/978-1-61091-156-6_7,W217466259,"William R. Freudenburg, Robert Gramling, Shirley Laska, Kai Erikson",book-chapter,23.0,4
A5077198528,Josef H. Görres,2022-07-27,2022,"genetic population structure and reproductive system of two invasive asian earthworms,<i>amynthas tokioensis</i>and<i>amynthas agrestis</i>",4,https://doi.org/10.7717/peerj.13622,W4285088152,"Maryam Nouri-Aiin, Samantha T. Connolly, Cheryl A. Keough, Annie Jean Smigelsky, Yiyi Wen, Jeremy W. Howland, Jos. J. Schall, Josef H. Görres",article,29.0,8
A5065504214,Eva Wollenberg,2019-09-14,2019,agricultural development addresses food loss and waste while reducing greenhouse gas emissions,59,https://doi.org/10.1016/j.scitotenv.2019.134318,W2971356334,"Gillian L. Galford, Olivia Peña, Amanda K. Sullivan, Julie Nash, Noel Gurwick, Gillian Pirolli, Meryl Richards, Julianna M. White, Eva Wollenberg",article,28.0,9
A5040821463,Peter Sheridan Dodds,2013-12-29,2013,shadow networks: discovering hidden nodes with models of information flow,7,,W2107867072,"James P. Bagrow, Suma Desu, Morgan R. Frank, Narine Manukyan, Lewis Mitchell, Andrew J. Reagan, Eric Bloedorn, Lashon B. Booker, L. Karl Branting, Michael J. Smith, Brian F. Tivnan, Christopher M. Danforth, Peter Sheridan Dodds, Joshua Bongard",preprint,14.0,14
A5015290549,Bruce L. Parker,2022-04-25,2022,survival of off-host <i>dermacentor albipictus</i> (acari: ixodidae) adult females and larvae underwater,2,https://doi.org/10.1139/cjz-2022-0003,W4225162030,"Cheryl Frank Sullivan, Bruce L. Parker, Margaret Skinner",article,58.0,3
A5025702790,Ira M. Bernstein,1996-06-18,1996,rapid molecular determination of fetal rhesus e type,0,https://doi.org/10.1002/(sici)1097-0223(199606)16:6<489::aid-pd894>3.3.co;2-2,W4254547229,"Osnat Geifman-Holtzman, Ira M. Bernstein, Stanley M. Berry, Diana W. Bianchi, Eliezer J. Holtzman",article,9.0,5
A5036140974,Matthew Price,2016-03-10,2016,investigating relationships between ptsd symptom clusters within virtual reality exposure therapy for oef/oif veterans,35,https://doi.org/10.1016/j.beth.2016.02.011,W2290362261,"Jessica L. Maples‐Keller, Matthew Price, Sheila A. M. Rauch, Maryrose Gerardi, Barbara O. Rothbaum",article,10.0,5
A5060478670,Jeffrey S. Buzas,1997-10-30,1997,data logging and monitoring of an integrated rural energy system,0,https://doi.org/10.1016/s1474-6670(17)41250-x,W2619045674,"E.E. Seres, I. Farkas, Andrew Biro, Jeffrey S. Buzas, A. Lágymányosi",article,7.0,5
A5066800852,Spencer Backman,2016-01-13,2016,a convolution formula for tutte polynomials of arithmetic matroids and other combinatorial structures,8,https://doi.org/10.48550/arxiv.1602.02664,W2257136508,"Spencer Backman, Matthias Lenz",preprint,7.0,2
A5054686016,Benedek Erdös,2012-07-02,2012,nucleus of the solitary tract catecholaminergic neurons modulate the cardiovascular response to psychological stress in rats,56,https://doi.org/10.1113/jphysiol.2012.232314,W1498348401,"Daisy L. Daubert, Michael L. McCowan, Benedek Erdös, Deborah A. Scheuer",article,52.0,4
A5036140974,Matthew Price,2023-10-20,2023,behavioral activation is associated with post‐disaster mental health: secondary longitudinal analysis from a population‐based study,0,https://doi.org/10.1002/jclp.23610,W4387729104,"Jeffrey M. Pavlacic, Kenneth J. Ruggiero, Arthur R. Andrews, Matthew Price, Alyssa A. Rheingold",article,17.0,5
A5066993330,David Punihaole,2017-05-31,2017,monomeric polyglutamine structures that evolve into fibrils,22,https://doi.org/10.1021/acs.jpcb.7b04060,W2617648683,"David Punihaole, Ryan S. Jakubek, Riley J. Workman, Lauren E. Marbella, Patricia Campbell, Jeffry D. Madura, Sanford A. Asher",article,7.0,7
A5031362021,Jane B. Lian,1997-10-06,1997,stage-specific expression of dlx-5 during osteoblast differentiation: involvement in regulation of osteocalcin gene expression,280,https://doi.org/10.1210/mend.11.11.0011,W2071680116,"Hyun‐Mo Ryoo, Heidi Hoffmann, Tim L. Beumer, Baruch Frenkel, Dwight A. Towler, Gary S. Stein, Janet L. Stein, André J. van Wijnen, Jane B. Lian",article,25.0,9
A5008146559,Mandar M. Dewoolkar,2017-10-25,2017,catastrophic failure of nacre under pure shear stresses of torsion,44,https://doi.org/10.1038/s41598-017-13492-z,W2761883202,"Saleh Alghamdi, Ting Tan, Christopher Hale-Sills, Floyd Vilmont, Xia Tian, Jie Yang, Dryver R. Huston, Mandar M. Dewoolkar",article,22.0,8
A5001775538,Hugh Garavan,2024-07-31,2024,coupled changes between ruminating thoughts and resting-state brain networks during the transition into adulthood,5,https://doi.org/10.1038/s41380-024-02610-9,W4400227531,"Rocco Marchitelli, Marie‐Laure Paillère Martinot, Alain Trouvé, Tobias Banaschewski, Arun L.W. Bokde, Sylvane Desrivières, Herta Flor, Hugh Garavan, Penny Gowland, Andreas Heinz, Rüdiger Brühl, Frauke Nees, Dimitri Papadopoulos Orfanos, Tomáš Paus, Luise Poustka, Sarah Hohmann, Nathalie Holz, Nilakshi Vaidya, Juliane H. Fröhner, Michael N. Smolka, Henrik Walter, Robert Whelan, Günter Schumann, Jean‐Luc Martinot, Éric Artiges",article,32.0,25
A5079241058,Thomas P. Ahern,2012-04-09,2012,"abstract 5492: use of beta blockers, ace inhibitors, and angiotensin receptor blockers and risk of breast cancer recurrence: a danish nationwide cohort study",0,https://doi.org/10.1158/1538-7445.am2012-5492,W1971094412,"Gitte Sørensen, Peter Ganz, Steve W. Cole, Lars Jacob Tynes Pedersen, Henrik Toft Sørensen, Deirdre Cronin‐Fenton, Jens Peter Garne, Peer Christiansen, Timothy L. Lash, Thomas P. Ahern",article,12.0,10
A5065482485,Andrew Barnaby,2015-03-12,2015,“the botome of goddes secretes”: 1 corinthians and<i>a midsummer night’s dream</i>,0,https://doi.org/10.1086/680467,W794893325,Andrew Barnaby,article,24.0,1
A5082336655,Nathalie Mathieu‐Bolh,2015-11-19,2015,reassessing the effects of environmental taxation when pollution affects health over the life-cycle,8,https://doi.org/10.1016/j.econmod.2015.09.002,W1897932579,"Nathalie Mathieu‐Bolh, Xavier Pautrel",article,24.0,2
A5023858070,Mary Cushman,2007-01-23,2007,risk factors for cardiovascular disease and arterial thrombosis,0,https://doi.org/10.1016/b978-141602401-9.10021-5,W2944833559,"Mary Cushman, Barbara M. Alving",book-chapter,33.0,2
A5010472783,Beth D. Kirkpatrick,2024-03-06,2024,infant non-secretor histoblood group antigen phenotype reduces susceptibility to both symptomatic and asymptomatic rotavirus infection,0,https://doi.org/10.3390/pathogens13030223,W4392377617,"Benjamin Lee, Md. Abdul Kader, Masud Alam, Dorothy M. Dickson, Patrick Harvey, E. Ross Colgate, Mami Taniuchi, William A. Petri, Rashidul Haque, Beth D. Kirkpatrick",article,29.0,10
A5023858070,Mary Cushman,2014-01-07,2014,scouting out a progressive role model: here come the girl scouts!.,2,,W2278475392,Mary Cushman,article,40.0,1
A5070720713,Anne E. Dixon,2009-07-02,2009,criteria to screen for chronic sinonasal disease,55,https://doi.org/10.1378/chest.08-1983,W2131453847,"Anne E. Dixon, Elizabeth A. Sugar, S. James Zinreich, Raymond G. Slavin, Jonathan Corren, Robert M. Naclerio, Masaru Ishii, Rubin I. Cohen, Ellen Brown, Robert A. Wise, Charles G. Irvin",article,15.0,11
A5033544452,Bernard F. Cole,2021-02-08,2021,abstract ps10-01: 6-year absolute invasive disease-free survival (idfs) benefit of adding adjuvant pertuzumab to trastuzumab and chemotherapy for patients with early her2-positive breast cancer: a stepp analysis of the aphinity (big 4-11) trial,0,https://doi.org/10.1158/1538-7445.sabcs20-ps10-01,W3133041857,"Richard D. Gelber, Xin Victoria Wang, Bernard F. Cole, David Cameron, Fátima Cardoso, Vivianne C. G. Tjan‐Heijnen, Ian E. Krop, Sherene Loi, Roberto Salgado, Astrid Kiermaier, Elizabeth S. Frank, Debora Fumagalli, Carmela Caballero, Evandro de Azambuja, Marion Procter, Emma Clark, Eleonora Restuccia, Sarah Heeson, José Bines, Sibylle Loibl, Martine Piccart-Gebhardt",article,21.0,21
A5066800852,Spencer Backman,2023-01-26,2023,a regular unimodular triangulation of the matroid base polytope,1,https://doi.org/10.48550/arxiv.2309.10229,W4386907287,"Spencer Backman, Gaku Liu",preprint,14.0,2
A5002326354,Deborah A. Neher,2014-05-15,2014,impact of coleopteran-active bt corn on non-target nematode communities in soil and decomposing corn roots,26,https://doi.org/10.1016/j.soilbio.2014.05.019,W2087144324,"Deborah A. Neher, Agnes Muthumbi, Galen P. Dively",article,29.0,3
A5023858070,Mary Cushman,2019-02-09,2019,lipoprotein(a) and risk of ischemic stroke in the regards study,70,https://doi.org/10.1161/atvbaha.118.311857,W2917591686,"Pankaj Arora, Rajat Kalra, Peter Callas, Kristine S. Alexander, Neil A. Zakai, Virginia G. Wadley, Garima Arora, Brett Kissela, Suzanne E. Judd, Mary Cushman",article,45.0,10
A5074235895,Marilyn J. Cipolla,2008-02-08,2008,pregnancy increases blood-brain barrier permeability coefficient (lp) to lucifer yellow: role of estrogen,1,,W2579324887,"Marchien J. Wiegman, Marilyn J. Cipolla",article,28.0,2
A5053327116,Mads Almassalkhi,2022-12-14,2022,towards optimal kron-based reduction of networks (opti-kron) for the electric power grid,1,https://doi.org/10.1109/cdc51059.2022.9992730,W4315471888,"Samuel Chevalier, Mads Almassalkhi",article,11.0,2
A5058304577,Anthony W. D’Amato,2016-12-30,2016,effects of variable retention harvesting on natural tree regeneration in pinus resinosa (red pine) forests,13,https://doi.org/10.1016/j.foreco.2016.11.025,W2562116609,"Margaret W. Roberts, Anthony W. D’Amato, Christel C. Kern, Brian J. Palik",article,14.0,4
A5013355577,Antonio Cepeda‐Benito,2018-06-04,2018,patient perceptions and quality of life after colon and rectal surgery: what do patients really want?,90,https://doi.org/10.1097/dcr.0000000000001078,W2809773245,"Sean M. Wrenn, Antonio Cepeda‐Benito, Diego I. Ramos‐Valadez, Peter A. Cataldo",article,26.0,4
A5033621367,Theodore J. Angelopoulos,2009-07-13,2009,cntf 1357 g → a polymorphism and the muscle strength response to resistance training,31,https://doi.org/10.1152/japplphysiol.90835.2008,W2117933887,"Seán Walsh, Bethany K. Kelsey, Theodore J. Angelopoulos, Priscilla M. Clarkson, Paul M. Gordon, Niall M. Moyna, Paul S. Visich, Robert F. Zoeller, Richard L. Seip, Steve Bilbie, Paul D. Thompson, Eric P. Hoffman, Thomas B. Price, Joseph M. Devaney, Linda S. Pescatello",article,23.0,15
